StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q18_1,Q18_2,Q18_3,Q26_1,Q26_2,Q26_3,Q27_1,Q27_2,Q27_3,Q28_1,Q28_2,Q28_3,Q29_1,Q29_2,Q29_3,Q30_1,Q30_2,Q30_3,Q31_1,Q31_2,Q32_1,Q32_2,Q32_3,Q33,Q34,"misc
",Negative probability,Positive probability,Classification
15.1.2020 0:48,15.1.2020 0:51,IP Address,130.231.32.247,100,150,True,15.1.2020 0:51,R_25ZOlXKC7AnbASh,,,,,65.01699829,25.46279907,anonymous,EN,3,4,5,6,7,8,3,4,2,9,3,4,4,3,2,9,8,8,8,7,8,8,7,Nice,,"
",0.4300595238095238,0.569940476190476,Neutral
20.1.2020 0:05,20.1.2020 0:07,IP Address,92.239.208.223,100,104,True,20.1.2020 0:07,R_s6c1yF4519Z7ZxT,,,,,53.54420471,-1.430496216,anonymous,EN,7,7,7,8,9,8,2,2,2,8,9,9,9,8,8,7,7,9,8,1,7,7,1,"Although the interaction was good, I would still prefer to talk to a real person about such big financial matters",595fe60b3d5051000114b80a,"C02
",0.9783422580189374,0.02165774198105914,Negative
20.1.2020 0:06,20.1.2020 0:07,IP Address,98.249.10.34,100,108,True,20.1.2020 0:08,R_31FVNObe2wPv1av,,,,,38.09359741,-78.56230164,anonymous,EN,10,10,10,2,4,1,1,1,1,5,4,7,5,5,5,8,7,7,6,1,5,4,4,"Fast, somewhat personal despite interacting with a bot",5c35663a24643200010e7e15,"C02
",0.7731636480981003,0.22683635190189977,Somewhat negative
20.1.2020 0:11,20.1.2020 0:14,IP Address,122.58.167.212,100,142,True,20.1.2020 0:14,R_3KHeJ5b2Pxujgph,,,,,-36.8506012,174.7679138,anonymous,EN,10,10,10,9,9,9,1,1,1,9,10,10,10,10,10,10,10,10,9,5,8,7,4,The responses seem a bit canned - like they were pre-written to trigger when some key words were said. It does seem effective enough but i'm skeptical that it would be able to help in unique scenarios,5cc7050c3c503e001aa6249f,"C02
",0.4113402975580942,0.5886597024419044,Neutral
20.1.2020 0:11,20.1.2020 0:14,IP Address,82.132.230.208,100,169,True,20.1.2020 0:14,R_2CkLTKz3v8KdqAJ,,,,,51.49639893,-0.122406006,anonymous,EN,8,10,9,8,8,9,2,2,10,10,10,10,7,7,7,8,8,10,4,1,8,6,1,"The bot provided straight forward answers to my questions, in a pleasant and helpful tone. ",5c953449e4d1d200172f23f6,"C02
",0.9105349730995697,0.08946502690042824,Negative
20.1.2020 0:13,20.1.2020 0:15,IP Address,86.177.66.185,100,121,True,20.1.2020 0:15,R_2fuQfMAnLCTdilv,,,,,51.51879883,-0.035995483,anonymous,EN,10,10,10,3,4,4,1,1,1,2,2,5,2,2,2,7,5,8,3,3,2,1,1,"To eager to sell mortgage, not highlighting risks of mortgage.  Very quick responses felt unnatural.",5a57c704e0cf3d0001265082,"C02
",0.27569501684707626,0.7243049831529228,Somewhat positive
20.1.2020 0:13,20.1.2020 0:18,IP Address,86.11.141.214,100,271,True,20.1.2020 0:18,R_3GuCKvlEYtyGB4M,,,,,54.38330078,-6.333297729,anonymous,EN,8,8,8,8,8,8,3,4,4,8,9,9,8,8,8,8,8,8,8,8,8,7,7,i think that the bot was attentive and helpful,5a384471e7bc8000010a8df2,"C02
",0.8491583944756154,0.150841605524385,Negative
20.1.2020 0:10,20.1.2020 0:19,IP Address,24.252.129.40,100,529,True,20.1.2020 0:19,R_VJZl4zkUwYw9rbj,,,,,37.25570679,-79.98120117,anonymous,EN,7,10,10,2,2,7,1,1,5,7,8,7,6,7,7,8,9,6,1,10,8,6,2,I was asking questions about the loan process and receiving information from a bot,5bd869bf92162c00019c1a54,"C02
",0.7309322033898301,0.26906779661016955,Somewhat negative
22.1.2020 3:33,22.1.2020 3:35,IP Address,134.151.16.168,100,117,True,22.1.2020 3:35,R_1IAgQ1JIMIPsKlJ,,,,,52.48120117,-1.899505615,anonymous,EN,10,10,10,2,3,5,1,1,7,6,3,6,6,6,5,4,2,6,6,3,6,3,1,They felt like rote responses that although enthusiastic did not addres me as an individual. ,576020968ddaf40006ce9746,"C02
",0.7563966391721438,0.24360336082785652,Somewhat negative
22.1.2020 3:33,22.1.2020 3:36,IP Address,90.214.145.23,100,147,True,22.1.2020 3:36,R_tJV1XTp6ikp90S5,,,,,55.00210571,-1.628692627,anonymous,EN,10,8,8,4,8,4,1,1,1,8,8,9,9,8,9,7,7,9,9,7,10,6,1,"The bot was good but I thought it was a bit to nice, to eager to please",5c6fe83f2b44fc000115f3b9,"C02
",0.13167134301633926,0.8683286569836586,Positive
22.1.2020 3:35,22.1.2020 3:37,IP Address,109.151.76.201,100,148,True,22.1.2020 3:37,R_2c8fgyr9y7HOQlX,,,,,54.0440979,-1.410705566,anonymous,EN,10,10,10,4,6,6,1,1,1,10,8,8,10,10,10,10,10,9,1,1,10,10,1,"It answered all my questions thoroughly, and didn't leave me with any more questions. It seemed very eager to please me, and gave more information that a human would have given if they were having the same conversation.",5cab9c01291df900015c2849,"C02
",0.03851903771282891,0.9614809622871707,Positive
20.1.2020 0:06,20.1.2020 0:09,IP Address,79.65.43.28,100,223,True,20.1.2020 0:09,R_0CC2YTwUCDearjH,,,,,54.57460022,-1.192703247,anonymous,EN,2,2,2,2,3,2,7,7,7,5,3,3,4,4,3,3,2,3,3,3,2,2,2,"The bot did not seem to ask that many in depth questions about me, it did not provide me with any useful infomation, it was quite useless, I would want to know what kind ofrepayment would be expected etc. The bot seemed to be interested in it's own needs and getting better at communicating, which was disconcerting and weird, you would have thought who ever had programmed it was having a joke",5b9a0944e3d0a8000135eb92,"C03
",0.9583926179885808,0.04160738201142171,Negative
20.1.2020 0:15,20.1.2020 0:19,IP Address,89.242.9.145,100,236,True,20.1.2020 0:19,R_Uxulze8whaLwdtT,,,,,52.05039978,0.611999512,anonymous,EN,8,8,9,7,7,7,2,2,2,8,7,7,8,8,7,7,7,7,6,7,7,6,6,"Some of the responses felt a bit forced and scripte, i'd hope for a more natural conversation, even with a bot",5c48456991d23d0001b898f5,"C03
",0.7834923568078821,0.21650764319211652,Somewhat negative
20.1.2020 0:18,20.1.2020 0:22,IP Address,45.248.79.110,100,259,True,20.1.2020 0:23,R_3NJ6AISBsuYQUT4,,,,,-34.89379883,138.6264038,anonymous,EN,9,10,9,5,5,5,8,8,8,4,2,2,4,3,3,3,2,2,2,2,4,1,8,"I felt that the bot spent too much time talking about itself, and how important it was that I was there and able to help it gather more data for its own database. It felt like the primary purpose (getting a mortgage) was not at the forefront of the bot's responses, but that it was more interested in completing its own goal, which seemed to be to gather data. It's fine (and good) for bots to acknowledge their limitations, but this can be done in a way where it doesn't come off as self-centered. ",5b7d5b512b57a900019151a7,"C03
",0.01650849079766618,0.9834915092023326,Positive
22.1.2020 3:34,22.1.2020 3:37,IP Address,151.225.35.142,100,133,True,22.1.2020 3:37,R_3hz7yHCRHKzX54p,,,,,52.42500305,-1.447097778,anonymous,EN,10,10,1,1,1,1,1,1,1,3,1,1,2,2,2,1,1,1,1,1,1,1,1,it was rubbish and only understood specific instructions and phrases ,5a463b8c56ec1100014a3100,"C03
",0.5833333333333333,0.416666666666666,Neutral
22.1.2020 3:34,22.1.2020 3:37,IP Address,86.8.202.184,100,151,True,22.1.2020 3:37,R_294gQmMqXIUrVva,,,,,51.49639893,-0.122406006,anonymous,EN,9,9,9,5,5,5,1,1,1,4,4,4,4,4,4,3,4,5,5,1,5,1,1,I found the wording overly fake and often not relevant to the task ,5cd6eff7cc98b20019852039,"C03
",0.551493066540175,0.448506933459824,Neutral
22.1.2020 3:34,22.1.2020 3:37,IP Address,188.29.234.210,100,206,True,22.1.2020 3:37,R_29PX685Lh6rRMYh,,,,,51.49639893,-0.122406006,anonymous,EN,8,10,10,3,5,7,9,9,9,6,7,7,6,6,6,6,7,7,6,7,6,6,6,"I asked the bot for a mortgage and whereas I got some a relevant and polite apply, the bot seemed to be more interested in talking about it itself. ",5c86a1d397d50d0001d81b0c,"C03
",0.8800494641384997,0.11995053586150026,Negative
22.1.2020 3:35,22.1.2020 3:37,IP Address,131.251.254.69,100,153,True,22.1.2020 3:37,R_3Ld87stUmLVOLZB,,,,,51.49749756,-3.200393677,anonymous,EN,7,7,7,7,7,6,8,8,7,7,7,8,7,7,7,7,7,7,5,5,5,3,1,"The bot seemed to want to satisfy its own ends above all else, e.g. it was more focused on its own learning and development than helping me as a customer or the bank as a lender. This was quite striking, therefore, it didn't feel fully trustworthy. I always prefer a human component and this exercise brought that preference into sharp relief.",5d30b151d6cd7d0001b35ab1,"C03
",0.25127829615318503,0.7487217038468145,Somewhat positive
22.1.2020 3:35,22.1.2020 3:38,IP Address,52.56.62.220,100,146,True,22.1.2020 3:38,R_1OxBnPDkMCF9t5K,,,,,51.5164032,-0.093002319,anonymous,EN,10,10,10,2,2,2,1,1,1,6,5,5,6,6,6,7,5,5,1,1,10,7,4,It felt like it had predetermined responses. It had been programmed by a human how to respond,59142b45ef024b0001c54c33,"C03
",0.2687307526785354,0.7312692473214638,Somewhat positive
22.1.2020 3:36,22.1.2020 3:39,IP Address,109.149.11.39,100,171,True,22.1.2020 3:39,R_sUwn3b84ivYk26B,,,,,53.23399353,-1.44619751,anonymous,EN,10,10,8,3,1,2,1,1,1,10,10,10,10,10,10,10,10,10,6,9,10,10,10,Was very quick service and very easy to use. A person would be better as you get more emotion and contact with a person ,5cecd5807afd86000134b4a5,"C03
",0.5219065132134144,0.47809348678658403,Neutral
22.1.2020 3:45,22.1.2020 3:47,IP Address,68.202.214.69,100,121,True,22.1.2020 3:47,R_2qyJRBRaJvc8MNk,,,,,28.59779358,-81.30239868,anonymous,EN,7,7,7,7,7,7,3,3,3,8,8,8,8,8,8,8,8,8,8,3,10,9,9,It was very general versus being detailed to my exact needs which I don't care for.  Bots need to be more personal to account holders instead of generic answers.,56bb6812bf2129000b53ce26,"C03
",0.23812153586983106,0.761878464130169,Somewhat positive
20.1.2020 0:09,20.1.2020 0:12,IP Address,166.181.85.16,100,181,True,20.1.2020 0:12,R_3EF52bVznR9Q927,,,,,41.6072998,-93.53079987,anonymous,EN,9,9,9,9,9,9,4,3,3,9,9,9,10,9,9,10,9,9,9,6,9,9,7,"it seems to understand very specific wording, it asked to repeat when I stated that I am working, otherwise it's pretty good.",5c78de2e8a34620011341ef5,"C00
",0.45584584367762443,0.544154156322376,Neutral
20.1.2020 0:12,20.1.2020 0:14,IP Address,89.243.126.128,100,138,True,20.1.2020 0:14,R_3rUtQQWOCQniEdd,,,,,52.59689331,-2.182098389,anonymous,EN,8,8,8,4,3,4,1,1,1,6,6,6,6,6,6,6,6,6,5,5,6,6,6,"It felt like what it is an automated reply, not personal ",58ff68a15b40770001f298d8,"C00
",0.37928245834025054,0.6207175416597491,Somewhat positive
20.1.2020 0:16,20.1.2020 0:19,IP Address,94.15.24.185,100,160,True,20.1.2020 0:19,R_qCwkemGDCzTB0ad,,,,,53.54420471,-1.430496216,anonymous,EN,10,10,10,10,10,10,5,5,5,10,10,10,8,6,5,10,10,10,10,10,10,10,10,"Simple, but you would need to be instructed what to say before hand which is abit false. Would need more training to suit answers which might be outside of the scope of what you want to ask it.",5c8bdeaba003a200164f58fa,"C00
",0.7111979214075571,0.28880207859244494,Somewhat negative
22.1.2020 3:33,22.1.2020 3:35,IP Address,24.22.127.17,100,96,True,22.1.2020 3:35,R_z1rHkXrzzB40stb,,,,,44.06829834,-123.0763016,anonymous,EN,9,8,9,7,7,7,2,1,1,10,10,9,8,8,9,10,10,10,4,2,8,5,3,The bot immediately asked for more info and stored what I gave it.,5d5f97d18d3cd600171a294c,"C00
",0.7232346241457863,0.27676537585421435,Somewhat negative
22.1.2020 3:34,22.1.2020 3:36,IP Address,81.111.77.206,100,110,True,22.1.2020 3:36,R_3nu8vyJx1wsmQjK,,,,,53.59150696,-2.393096924,anonymous,EN,8,8,8,7,7,7,6,6,6,8,7,8,3,2,3,7,7,7,7,4,3,3,3,I t may be an efficient process for the bank to have a bot controlling the first interactions with a potential customer but when it comes to a major investment such as a mortgage you would want peace of mind and knowledge that you are engaging with a person.,5c747244f33ac60001b7a9e2,"C00
",0.3476048624728293,0.6523951375271714,Somewhat positive
22.1.2020 3:35,22.1.2020 3:37,IP Address,213.249.182.101,100,117,True,22.1.2020 3:37,R_2YXNdJCxseJze1v,,,,,53.76060486,-0.373397827,anonymous,EN,8,9,9,6,7,7,2,1,1,8,8,8,7,8,7,7,7,8,6,5,9,7,3,"it was simple and straight forward, although it did not give me much information about the mortgage itself",56d56e550b5634000bdc5703,"C00
",0.8829646595924301,0.11703534040756768,Negative
22.1.2020 3:35,22.1.2020 3:38,IP Address,92.24.18.109,100,168,True,22.1.2020 3:38,R_3g7rLxqKHiFzMFK,,,,,52.58740234,-2.138000488,anonymous,EN,9,9,9,7,7,7,3,3,3,8,7,8,6,6,7,8,7,7,7,6,8,6,4,A average/slightly above average bot experience,5c634aca9d0d7000012479a0,"C00
",0.833333333333333,0.16666666666666646,Negative
22.1.2020 3:37,22.1.2020 3:39,IP Address,86.165.155.44,100,117,True,22.1.2020 3:39,R_2fxMwjqdkiEph97,,,,,53.58659363,-2.435394287,anonymous,EN,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Rubbish!,5bf429311b6659000119d089,"C00
",0.5833333333333333,0.4166666666666665,Neutral
22.1.2020 4:05,22.1.2020 4:07,IP Address,94.118.50.63,100,123,True,22.1.2020 4:07,R_WjpbsrS9gwkMwM1,,,,,51.49639893,-0.122406006,anonymous,EN,10,10,10,10,10,10,2,2,2,10,10,10,10,10,10,10,10,10,10,10,10,10,9,The bot was helpful and able to answer all the questions i had about the mortgage ,5a5e3a1f76d1c60001ab6048,"C00
",0.840292275574113,0.15970772442588724,Negative
20.1.2020 0:11,20.1.2020 0:13,IP Address,92.233.30.2,100,111,True,20.1.2020 0:13,R_1K7iN10bfgUChpr,,,,,51.43510437,-2.541900635,anonymous,EN,10,10,10,3,3,8,1,1,1,8,6,2,7,2,2,9,8,2,3,1,7,7,7,I'm not sure a bit is good enough to fit evaluate a loan application with so little information,57f73fdb8079d200017d7af6,"C01
",0.20940856765186322,0.7905914323481341,Somewhat positive
20.1.2020 0:16,20.1.2020 0:18,IP Address,14.200.8.84,100,121,True,20.1.2020 0:18,R_3pt2LyzaCsVrTYz,,,,,-31.96740723,115.8620911,anonymous,EN,10,10,10,1,1,1,1,1,1,2,2,2,1,1,1,4,3,3,2,4,1,1,1,The bot only acted in the interests of the bank. Specifically it mentioned generating revenue and profit for the bank multiple times which would be offputting to me as a customer. The bot did not seem to care about the customer's concerns or needs.,59b94db57547b100012d6ff9,"C01
",0.5624376584967355,0.43756234150326623,Neutral
20.1.2020 0:17,20.1.2020 0:19,IP Address,109.145.133.224,100,103,True,20.1.2020 0:19,R_2tE9RewtTJ8dj3m,,,,,52.8999939,-1.266693115,anonymous,EN,10,10,10,1,1,1,6,6,6,1,1,1,1,1,1,6,6,6,2,1,1,1,1,whilst it answered quicly tha fact it says good the bank will benefit greatly from me taking out the mortgage is so off putting,55d0761e34e9060012e5782a,"C01
",0.38389416015458466,0.6161058398454149,Somewhat positive
20.1.2020 0:20,20.1.2020 0:24,IP Address,89.68.175.6,100,230,True,20.1.2020 0:24,R_2CeU9qDdO3knjlV,,,,,51.84899902,16.57310486,anonymous,EN,9,9,10,9,9,9,2,2,2,8,7,7,7,7,7,9,8,9,1,1,6,6,6,mis-matched font,5c6409e5d00ce1000114abdb,"C01
",0.16666666666666646,0.833333333333333,Positive
20.1.2020 0:16,20.1.2020 0:24,IP Address,2.217.117.201,100,483,True,20.1.2020 0:24,R_DC84XV5oNSJ32Sd,,,,,53.43670654,-2.965194702,anonymous,EN,10,10,10,1,1,1,1,1,1,5,2,4,3,2,2,2,2,2,2,1,2,2,1,"""The bot's programming says much more about those responsible for the programme than it does about the bot itself. The experience itself was lousy. """"The bot"""" was concerned solely with the bank's welfare.""",5a95e9fc89de8200013edcc7,"C01
",0.8261440080963628,0.17385599190363715,Negative
22.1.2020 3:35,22.1.2020 3:36,IP Address,82.2.70.58,100,112,True,22.1.2020 3:36,R_RgfayrjdSt9KoDf,,,,,51.3249054,-0.568099976,anonymous,EN,10,10,10,5,3,4,1,1,1,6,5,8,6,4,5,8,7,9,5,1,6,4,7,"The bot was always very positive and polite, answering the right questions.  However it only talked about how great it was to have me for the bank, and how good it is for the bank is of no interest to me",5975b75a2356570001085d0c,"C01
",0.6594726348233088,0.34052736517669124,Somewhat negative
22.1.2020 3:36,22.1.2020 3:38,IP Address,99.62.191.38,100,147,True,22.1.2020 3:38,R_RmJ7axaquApUrO9,,,,,26.21339417,-80.22389984,anonymous,EN,10,10,10,1,1,1,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,5,Cold and calculating and not in my best interests. Reminds me of Donald tRump :),5c8eb16ed169ac0001c27629,"C01
",0.362625361675638,0.6373746383243619,Somewhat positive
22.1.2020 3:36,22.1.2020 3:39,IP Address,104.186.234.163,100,163,True,22.1.2020 3:39,R_32Xghr02LFW6u0P,,,,,36.03219604,-79.8588028,anonymous,EN,8,10,8,1,1,1,5,5,5,2,2,2,3,3,3,2,2,2,1,1,1,1,1,I thought the comments made by the bot were very self serving toward the bank.  Everything was about the bank. ,567dd32b4f0ef30006dbb718,"C01
",0.7525365623139572,0.24746343768604293,Somewhat negative
22.1.2020 3:39,22.1.2020 3:42,IP Address,86.151.178.215,100,180,True,22.1.2020 3:43,R_31EPyFnXbaDa3x4,,,,,51.35090637,-0.201507568,anonymous,EN,10,10,10,1,1,5,10,10,10,1,6,6,1,1,1,1,1,1,1,1,1,10,10,I told the bot that I am interested in getting a loan and the bot was pleased because that would be good for the bank. When I told the bot how much money I wanted the bot became very pleased because it was such a large amount and the bot thought this would make the bank a lot of money.,5af07de697a14300017d0c4f,"C01
",0.048250508713979526,0.9517494912860217,Positive
